,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Valor en Bs,Variacion,Variacion,,,,Valor en S,Interes cap.,Interes Var.,Interes,,,,,,,
,Fecha,,Capital,Capital,Capital,Total,,,Total,Base diario,Capital diario,Mora,,,,,,,
,Liquidación,Valor en UVC,Base,Diaria,Acumulada,Crédito,IDI,Venta (ASK),Crédito,16.00%,16.00%,3.00%,,,,,,,
,10/16/25," 162,443.29 "," 160,000.00 ",,," 160,000.00 ",0.98495915,201.47, 794.18 ,,,,,,,,,,
,10/17/25," 162,443.29 "," 160,000.00 "," 1,807.15 "," 1,807.15 "," 161,807.15 ",0.99608395, 203.74 , 794.18 , 71.11 , 0.80 ,,,,,,,,
,10/20/25," 162,443.29 "," 160,000.00 "," 1,535.47 "," 3,342.62 "," 163,342.62 ",1.00553624, 205.68 , 794.18 , 71.11 , 1.49 ,,,,,,,,
,10/21/25," 162,443.29 "," 160,000.00 "," 1,761.80 "," 5,104.42 "," 165,104.42 ",1.01638189, 207.89 , 794.18 , 71.11 , 2.27 ,,,,,,,,
,10/22/25," 162,443.29 "," 160,000.00 "," 1,897.05 "," 7,001.47 "," 167,001.47 ",1.02806011, 210.28 , 794.18 , 71.11 , 3.11 ,,,,,,,,
,10/23/25," 162,443.29 "," 160,000.00 "," 1,748.14 "," 8,749.61 "," 168,749.61 ",1.03882167, 212.48 , 794.18 , 71.11 , 3.89 ,,,,,,,,
,10/24/25," 162,443.29 "," 160,000.00 "," 1,536.97 "," 10,286.58 "," 170,286.58 ",1.04828325, 214.42 , 794.18 , 71.11 , 4.57 ,,,,,,,,
,10/27/25," 162,443.29 "," 160,000.00 "," 1,550.55 "," 11,837.13 "," 171,837.13 ",1.05782843, 216.37 , 794.18 , 71.11 , 5.26 ,," 2,133.33 ",,,,,,
,10/28/25," 162,443.29 "," 160,000.00 "," 1,428.41 "," 13,265.54 "," 173,265.54 ",1.06662169, 218.17 , 794.18 , 71.11 , 5.90 ,, 353.73 ,,,,,,
,10/29/25," 162,443.29 "," 160,000.00 "," 1,353.04 "," 14,618.58 "," 174,618.58 ",1.07495099, 219.87 , 794.18 , 71.11 , 6.50 ,," 2,487.06 ",,,,,,
,10/30/25," 162,443.29 "," 160,000.00 "," 1,485.19 "," 16,103.77 "," 176,103.77 ",1.08409381, 221.74 , 794.18 , 71.11 , 7.16 ,,,,,,,,
,10/31/25," 162,443.29 "," 160,000.00 "," 1,510.60 "," 17,614.37 "," 177,614.37 ",1.09339308, 223.65 , 794.18 , 71.11 , 7.83 ,, 66.18 ,,,,,,
,11/3/25," 162,443.29 "," 160,000.00 ", 251.20 ," 17,865.57 "," 177,865.57 ",1.09493945, 223.96 , 794.18 , 71.11 , 7.94 ,,,,,,,,
,11/4/25," 162,443.29 "," 160,000.00 ", 328.79 ," 18,194.36 "," 178,194.36 ",1.09696347, 224.38 , 794.18 , 71.11 , 8.09 ,,,,,,,,
,11/5/25," 162,443.29 "," 160,000.00 "," 1,393.23 "," 19,587.58 "," 179,587.58 ",1.10554016, 226.13 , 794.18 , 71.11 , 8.71 ,,," 2,133.33 ",Interes capital Base,,,,
,11/6/25," 162,443.29 "," 160,000.00 "," 1,132.65 "," 20,720.23 "," 180,720.23 ",1.11251277, 227.56 , 794.18 , 71.11 , 9.21 ,,," 12,383.61 ",Amortizacion capital base,,,,
,11/7/25," 162,443.29 "," 160,000.00 ", 732.95 ," 21,453.18 "," 181,453.18 ",1.11702478, 228.48 , 794.18 , 71.11 , 9.53 ,,, 0.96 ,Interes Mora,,,,
,11/10/25," 162,443.29 "," 160,000.00 "," 2,038.33 "," 23,491.51 "," 183,491.51 ",1.12957275, 231.05 , 794.18 , 71.11 , 10.44 ,,, 19.26 ,,,,,
,11/11/25," 162,443.29 "," 160,000.00 ", 37.80 ," 23,529.32 "," 183,529.32 ",1.12980547, 231.09 , 794.18 , 71.11 , 10.46 ,,," 2,053.31 ",Amortizacion variacion de capital,,,,
,11/12/25," 162,443.29 "," 160,000.00 "," 1,550.23 "," 25,079.55 "," 185,079.55 ",1.13934869, 233.05 , 794.18 , 71.11 , 11.15 ,,, 11.80 ,Interes,,,,
,11/13/25," 162,443.29 "," 160,000.00 ", 406.46 ," 25,486.01 "," 185,486.01 ",1.14185086, 233.56 , 794.18 , 71.11 , 11.33 ,,, 7.91 ,Interes,,,,
,11/14/25," 162,443.29 "," 160,000.00 "," 1,043.47 "," 26,529.48 "," 186,529.48 ",1.14827445, 234.87 , 794.18 , 71.11 , 11.79 ,,," 16,610.18 ",,,,,
,11/15/25,,,,,,,,,,,,,,,,,,
,Amortización," 12,488.24 "," 12,383.61 ",," 2,053.31 "," 14,436.92 ",,,," 2,133.33 ", 353.73 ,Interes Devengado, Nro. Dias ,,,,,,
,," 149,955.05 ",,,,,,,," 2,133.33 ", 39.93 ,Interes Cobrado, 30.00 ,,,,,,
,,,,,,,,, Dif , -0.00 , -313.80 ,,,,,,,,
 Cuota 1 ,11/17/25," 149,955.05 "," 147,616.39 ",," 25,737.80 "," 173,354.19 ",1.15604103,236.46, 733.12 , 65.61 , 11.44 , 61.05 , Monto pagado ,,,,,,
